City Name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Jiayuguan,39.77,98.29,61.69,25,54,9.73
Songea,-10.68,35.65,75.2,44,5,6.93
Vostok,46.45,135.83,42.79,99,91,4.09
Saquarema,-22.93,-42.51,78.8,78,75,11.41
Vanavara,60.35,102.28,41.71,82,32,8.41
Ballina,54.11,-9.15,61.0,93,90,14.99
Oriximina,-1.77,-55.87,98.59,35,41,10.09
Mastic Beach,40.77,-72.85,84.0,44,1,11.41
Hudson Bay,52.86,-102.4,53.95,77,68,7.47
Chapais,49.78,-74.86,64.4,48,1,9.17
Abu Kamal,34.45,40.92,79.87,18,0,10.56
Taksimo,56.36,114.84,39.73,94,58,0.51
Zhicheng,35.04,112.59,66.91,43,0,4.14
Porciuncula,-20.96,-42.04,88.87,36,0,7.65
Hongjiang,27.21,109.83,63.31,78,7,3.02
Opuwo,-18.06,13.84,72.67,37,17,9.53
Salym,60.06,71.48,35.77,82,59,5.28
Casino,-28.86,153.05,66.2,93,21,1.97
Kangaatsiaq,68.31,-53.46,41.53,87,76,10.6
Nizhniy Kuranakh,58.84,125.49,41.71,94,98,6.64
Bandundu,-3.32,17.38,79.33,69,77,1.97
Juneau,58.3,-134.42,55.4,100,90,6.93
Iiyama,36.89,138.38,57.55,89,100,1.99
Goderich,43.74,-81.71,84.0,64,1,10.0
Sechura,-5.56,-80.82,62.23,93,100,13.22
Mezen,65.85,44.24,33.97,87,82,2.44
Sandanski,41.57,23.28,51.25,46,3,2.53
Kenai,60.55,-151.26,48.0,100,90,4.7
Kaka,37.35,59.62,79.69,18,0,4.68
Nelson Bay,-32.72,152.14,66.0,88,86,4.7
Jieshi,22.82,115.83,69.43,55,4,7.83
The Valley,18.22,-63.06,89.6,70,20,13.87
Rodrigues Alves,-7.74,-72.65,80.6,83,75,5.82
Krasnoye,44.87,39.46,51.01,81,0,6.71
Pisco,-13.71,-76.2,71.6,30,75,8.05
Point Pleasant,40.08,-74.07,84.99,42,1,4.27
Fort Saint James,54.43,-124.25,57.91,58,100,9.04
Iralaya,15.0,-83.23,87.8,70,40,5.82
Shimoda,34.7,138.93,71.01,82,100,1.01
Iwaki,37.05,140.89,66.0,93,79,1.01
Ewa Beach,21.32,-158.01,80.6,100,40,11.41
Zlobin,45.29,14.65,66.2,42,0,1.12
San Luis Rio Colorado,32.47,-114.76,87.8,8,1,3.36
